sample-id	absolute-filepath
sample-25	/data/raw/SRR15032102.fastq.gz
sample-109	/data/raw/SRR15032313.fastq.gz
sample-4	/data/raw/SRR15032081.fastq.gz
sample-96	/data/raw/SRR15032300.fastq.gz
sample-176	/data/raw/SRR15032382.fastq.gz
