sample_id,metric,published,repro_2026.7,repro_2022.2,identical_2022_vs_2026
sample-25,observed_features,72,49,49,TRUE
sample-25,berger_parker_d,0.2256317689530685,0.23832221163012393,0.23832221163012393,TRUE
sample-25,faith_pd,9.833365861086833,5.935276785703879,5.935276785703879,TRUE
sample-25,shannon,4.630996040142792,4.327355425881873,4.327355425881873,TRUE
sample-4,observed_features,66,37,37,TRUE
sample-4,berger_parker_d,0.2225165562913907,0.23612087139845397,0.23612087139845397,TRUE
sample-4,faith_pd,7.841477538622222,4.18887233673753,4.18887233673753,TRUE
sample-4,shannon,4.278824909213226,3.915751419593197,3.915751419593197,TRUE
sample-109,observed_features,98,64,64,TRUE
sample-109,berger_parker_d,0.0911214953271028,0.09915254237288136,0.09915254237288136,TRUE
sample-109,faith_pd,11.77104570963029,6.302389667772379,6.302389667772379,TRUE
sample-109,shannon,5.674083884149985,5.299495851644395,5.299495851644395,TRUE
sample-96,observed_features,85,52,52,TRUE
sample-96,berger_parker_d,0.094944512946979,0.10218978102189781,0.10218978102189781,TRUE
sample-96,faith_pd,9.911906672714826,5.524001522881751,5.524001522881751,TRUE
sample-96,shannon,5.303578584204585,4.93797246865417,4.93797246865417,TRUE
sample-176,observed_features,124,69,69,TRUE
sample-176,berger_parker_d,0.0862564692351926,0.09689922480620156,0.09689922480620156,TRUE
sample-176,faith_pd,14.408314707989051,6.428209668153618,6.428209668153618,TRUE
sample-176,shannon,5.955242425313345,5.442502390906396,5.442502390906396,TRUE
