sample_id,metric,published,reproduced_deblur,reproduced_dada2,pct_deblur,pct_dada2
sample-25,observed_features,72,49,47,68.1%,65.3%
sample-25,berger_parker_d,0.2256317689530685,0.23832221163012393,0.1991869918699187,105.6%,88.3%
sample-25,faith_pd,9.833365861086833,5.935276785703879,7.619738154701341,60.4%,77.5%
sample-25,shannon,4.630996040142792,4.327355425881873,4.482073174618873,93.4%,96.8%
sample-4,observed_features,66,37,44,56.1%,66.7%
sample-4,berger_parker_d,0.2225165562913907,0.23612087139845397,0.21584832280019445,106.1%,97.0%
sample-4,faith_pd,7.841477538622222,4.18887233673753,6.142978278756013,53.4%,78.3%
sample-4,shannon,4.278824909213226,3.915751419593197,4.177917164829859,91.5%,97.6%
sample-109,observed_features,98,64,68,65.3%,69.4%
sample-109,berger_parker_d,0.0911214953271028,0.09915254237288136,0.07858328721638075,108.8%,86.2%
sample-109,faith_pd,11.77104570963029,6.302389667772379,8.990397409321487,53.5%,76.4%
sample-109,shannon,5.674083884149985,5.299495851644395,5.518920841575055,93.4%,97.3%
sample-96,observed_features,85,52,56,61.2%,65.9%
sample-96,berger_parker_d,0.094944512946979,0.10218978102189781,0.09260908281389137,107.6%,97.5%
sample-96,faith_pd,9.911906672714826,5.524001522881751,7.347778782362532,55.7%,74.1%
sample-96,shannon,5.303578584204585,4.93797246865417,5.060393043618952,93.1%,95.4%
sample-176,observed_features,124,69,88,55.6%,71.0%
sample-176,berger_parker_d,0.0862564692351926,0.09689922480620156,0.07472880674969867,112.3%,86.6%
sample-176,faith_pd,14.408314707989051,6.428209668153618,9.954145911231931,44.6%,69.1%
sample-176,shannon,5.955242425313345,5.442502390906396,5.751438798860862,91.4%,96.6%
