sample_id,metric,published,work,work_pct,work_dada2,work_dada2_pct,work_minreads1,work_minreads1_pct,work_full308,work_full308_pct
sample-25,observed_features,72.0,49.0,68.1%,47.0,65.3%,74.0,102.8%,72.0,100.0%
sample-25,shannon,4.630996040142792,4.327355425881873,93.4%,4.482073174618873,96.8%,4.643476657179553,100.3%,4.630996040142793,100.0%
sample-25,berger_parker_d,0.2256317689530685,0.23832221163012393,105.6%,0.1991869918699187,88.3%,0.22522522522522523,99.8%,0.22563176895306858,100.0%
sample-25,faith_pd,9.833365861086833,5.935276785703879,60.4%,7.619738154701341,77.5%,7.766922680355723,79.0%,10.23396286721922,104.1%
sample-4,observed_features,66.0,37.0,56.1%,44.0,66.7%,68.0,103.0%,66.0,100.0%
sample-4,shannon,4.278824909213226,3.915751419593197,91.5%,4.177917164829859,97.6%,4.29609674609473,100.4%,4.278824909213227,100.0%
sample-4,berger_parker_d,0.2225165562913907,0.23612087139845397,106.1%,0.21584832280019445,97.0%,0.22192866578599735,99.7%,0.22251655629139072,100.0%
sample-4,faith_pd,7.841477538622222,4.18887233673753,53.4%,6.142978278756013,78.3%,6.710530351023509,85.6%,8.048530994187756,102.6%
sample-109,observed_features,98.0,64.0,65.3%,68.0,69.4%,99.0,101.0%,98.0,100.0%
sample-109,shannon,5.674083884149985,5.299495851644395,93.4%,5.518920841575055,97.3%,5.6788275435236875,100.1%,5.674083884149985,100.0%
sample-109,berger_parker_d,0.0911214953271028,0.09915254237288136,108.8%,0.07858328721638075,86.2%,0.09105058365758754,99.9%,0.0911214953271028,100.0%
sample-109,faith_pd,11.77104570963029,6.302389667772379,53.5%,8.990397409321487,76.4%,9.409019136943185,79.9%,11.58624861472278,98.4%
sample-96,observed_features,85.0,52.0,61.2%,56.0,65.9%,86.0,101.2%,85.0,100.0%
sample-96,shannon,5.303578584204585,4.93797246865417,93.1%,5.060393043618952,95.4%,5.307770278102759,100.1%,5.303578584204584,100.0%
sample-96,berger_parker_d,0.094944512946979,0.10218978102189781,107.6%,0.09260908281389137,97.5%,0.0948860135551448,99.9%,0.09494451294697903,100.0%
sample-96,faith_pd,9.911906672714826,5.524001522881751,55.7%,7.347778782362532,74.1%,7.605223967754299,76.7%,9.867482621582388,99.6%
sample-176,observed_features,124.0,69.0,55.6%,88.0,71.0%,126.0,101.6%,124.0,100.0%
sample-176,shannon,5.955242425313345,5.442502390906396,91.4%,5.751438798860862,96.6%,5.962424876923788,100.1%,5.955242425313345,100.0%
sample-176,berger_parker_d,0.0862564692351926,0.09689922480620156,112.3%,0.07472880674969867,86.6%,0.0861573808156232,99.9%,0.08625646923519265,100.0%
sample-176,faith_pd,14.408314707989051,6.428209668153618,44.6%,9.954145911231931,69.1%,10.99222859977987,76.3%,13.4564812877464,93.4%
